sector,week,total_engagement,avg_engagement_rate,total_likes,total_comments,total_views,total_posts,active_businesses,sector_growth,sector_trend_class
Cafes/Restaurants,2020-05-18/2020-05-24,63.0,0.0217241379310344,47.0,16.0,0.0,1,1,0.0,stable
Cafes/Restaurants,2020-08-31/2020-09-06,0.0,0.0,0.0,0.0,279.0,1,1,-1.0,declining
Cafes/Restaurants,2022-05-02/2022-05-08,90.0,0.0310344827586206,65.0,25.0,0.0,1,1,0.0,stable
Cafes/Restaurants,2022-09-12/2022-09-18,62.0,0.0213793103448275,58.0,4.0,0.0,1,1,-0.3111111111111119,declining
Cafes/Restaurants,2023-01-09/2023-01-15,2052.0,0.0114190317195325,2035.0,17.0,789900.0,3,1,-0.4658840002154132,declining
Cafes/Restaurants,2023-01-23/2023-01-29,1303.0,0.0217529215358931,1298.0,5.0,42700.0,1,1,0.9049707602339223,improving
Cafes/Restaurants,2023-01-30/2023-02-05,721.0,0.0074445347509005996,715.0,6.0,28578.0,2,2,-0.6577685099163875,declining
Cafes/Restaurants,2023-02-13/2023-02-19,141.0,0.0023539232053422,138.0,3.0,9430.0,1,1,-0.6838051961464167,declining
Cafes/Restaurants,2023-02-20/2023-02-26,34.0,0.0201064458900059,32.0,2.0,1479.0,1,1,7.54167453057711,improving
Cafes/Restaurants,2023-03-06/2023-03-12,1.0,4.385964912280701e-05,0.0,1.0,747.0,1,1,-0.9978186274509804,declining
Cafes/Restaurants,2023-03-13/2023-03-19,46.0,0.009067612852355533,42.0,4.0,2694.0,3,1,205.7415730337062,improving
Cafes/Restaurants,2023-03-20/2023-03-26,361.0,0.0079166666666666,354.0,7.0,16358.0,2,1,-0.1269293478260871,declining
Cafes/Restaurants,2023-03-27/2023-04-02,155.0,0.0025876460767946,148.0,7.0,90600.0,1,1,-0.6731394429312056,declining
Cafes/Restaurants,2023-04-03/2023-04-09,1152.0,0.01750750519872295,1142.0,10.0,42100.0,2,2,5.765803621958246,improving
Cafes/Restaurants,2023-04-10/2023-04-16,520.0,0.0228070175438596,516.0,4.0,12800.0,1,1,0.30269945860265746,improving
Cafes/Restaurants,2023-04-17/2023-04-23,1030.0,0.00859766277128543,1021.0,9.0,60687.0,2,1,-0.6230255554128687,declining
Cafes/Restaurants,2023-04-24/2023-04-30,515.0,0.0085976627712854,510.0,5.0,26900.0,1,1,-3.4416913763379853e-15,stable
Cafes/Restaurants,2023-05-01/2023-05-07,212.0,0.009298245614035,209.0,3.0,6643.0,1,1,0.08148526656446875,stable
Cafes/Restaurants,2023-05-15/2023-05-21,375.0,0.0164473684210526,371.0,4.0,12400.0,1,1,0.7688679245283152,improving
Cafes/Restaurants,2023-05-29/2023-06-04,144.0,0.0063157894736842,140.0,4.0,14400.0,1,1,-0.6159999999999999,declining
Cafes/Restaurants,2023-06-12/2023-06-18,227.0,0.0099561403508771,224.0,3.0,7084.0,1,1,0.5763888888888768,improving
Cafes/Restaurants,2023-06-26/2023-07-02,1866.0,0.0818421052631579,1858.0,8.0,61000.0,1,1,7.220264317180693,improving
Cafes/Restaurants,2023-07-17/2023-07-23,124.0,0.005438596491228,122.0,2.0,5456.0,1,1,-0.9335476956055743,declining
Cafes/Restaurants,2023-07-24/2023-07-30,204.0,0.0089473684210526,201.0,3.0,6885.0,1,1,0.6451612903225961,improving
Cafes/Restaurants,2023-08-14/2023-08-20,2354.0,0.0392988313856427,2347.0,7.0,108000.0,1,1,3.3922223313365523,improving
Cafes/Restaurants,2023-08-21/2023-08-27,938.0,0.0156594323873121,930.0,8.0,308000.0,1,1,-0.6015293118096874,declining
Cafes/Restaurants,2023-08-28/2023-09-03,125.0,0.0020868113522537,118.0,7.0,127000.0,1,1,-0.866737739872071,declining
Cafes/Restaurants,2023-09-11/2023-09-17,1865.0,0.0140638149352234,1849.0,16.0,468433.0,3,2,5.739380116959234,improving
Cafes/Restaurants,2023-09-25/2023-10-01,320.0,0.0140350877192982,315.0,5.0,16800.0,1,1,-0.0020426332440744988,stable
Cafes/Restaurants,2024-04-08/2024-04-14,4.0,0.0006153846153846,3.0,1.0,58000.0,1,1,-0.9561538461538471,declining
Cafes/Restaurants,2024-08-19/2024-08-25,22.0,0.0033846153846153,18.0,4.0,0.0,1,1,4.5,improving
Cafes/Restaurants,2024-09-02/2024-09-08,358.0,0.0275384615384615,353.0,5.0,0.0,2,1,7.1363636363638285,improving
Cafes/Restaurants,2024-09-09/2024-09-15,140.0,0.0215384615384615,134.0,6.0,0.0,1,1,-0.21787709497206742,declining
Cafes/Restaurants,2024-09-30/2024-10-06,1783.0,0.13715384615384615,1757.0,26.0,0.0,2,1,5.367857142857154,improving
Cafes/Restaurants,2024-11-11/2024-11-17,42.0,0.0064615384615384,40.0,2.0,4200000.0,1,1,-0.9528883903533375,declining
Cafes/Restaurants,2024-11-18/2024-11-24,807.0,0.062076923076923,802.0,5.0,3042000.0,2,1,8.607142857142938,improving
Cafes/Restaurants,2024-11-25/2024-12-01,16.0,0.0024615384615384,13.0,3.0,1400000.0,1,1,-0.9603469640644371,declining
Cafes/Restaurants,2024-12-02/2024-12-08,199.0,0.009598290598290532,196.0,3.0,1400000.0,3,2,2.899305555555626,improving
Cafes/Restaurants,2024-12-09/2024-12-15,111.0,0.0085384615384615,108.0,3.0,2025000.0,2,1,-0.11041852181656064,declining
Cafes/Restaurants,2024-12-16/2024-12-22,927.0,0.1426153846153846,920.0,7.0,0.0,1,1,15.702702702702776,improving
Cafes/Restaurants,2024-12-30/2025-01-05,20.0,0.0002469135802469,15.0,5.0,0.0,1,1,-0.9982686750036626,declining
Cafes/Restaurants,2025-01-13/2025-01-19,114.0,0.0175384615384615,114.0,0.0,0.0,1,1,70.03076923077299,improving
Cafes/Restaurants,2025-01-20/2025-01-26,3.0,3.703703703703704e-05,2.0,1.0,0.0,1,1,-0.9978882391163093,declining
Cafes/Restaurants,2025-02-17/2025-02-23,5.0,6.17283950617284e-05,4.0,1.0,0.0,1,1,0.6666666666666665,improving
Cafes/Restaurants,2025-02-24/2025-03-02,18.0,0.0012431149097815457,15.0,3.0,0.0,2,2,19.13846153846104,improving
Cafes/Restaurants,2025-03-03/2025-03-09,969.0,0.0069712230215827,963.0,6.0,0.0,1,1,4.607866953190806,improving
Cafes/Restaurants,2025-03-10/2025-03-16,48.0,0.0003453237410071,44.0,4.0,0.0,1,1,-0.950464396284843,declining
Cafes/Restaurants,2025-03-17/2025-03-23,5.0,1.7985611510791367e-05,4.0,1.0,0.0,2,2,-0.9479166666666524,declining
Cafes/Restaurants,2025-04-07/2025-04-13,16.0,0.00064,14.0,2.0,6200.0,1,1,34.584,improving
Cafes/Restaurants,2025-04-21/2025-04-27,1300.0,0.0093525179856115,1300.0,0.0,0.0,1,1,13.613309352517968,improving
Cafes/Restaurants,2025-04-28/2025-05-04,1209.0,0.00439876670092495,1206.0,3.0,0.0,2,2,-0.5296703296703317,declining
Cafes/Restaurants,2025-05-05/2025-05-11,198.0,0.0304615384615384,196.0,2.0,0.0,1,1,5.925017972681548,improving
Cafes/Restaurants,2025-06-02/2025-06-08,2252.0,0.005439248601119033,2207.0,45.0,0.0,3,2,-0.8214388085491223,declining
Cafes/Restaurants,2025-06-23/2025-06-29,593.0,0.0042661870503597,580.0,13.0,0.0,1,1,-0.2156661033139753,declining
Cafes/Restaurants,2025-07-07/2025-07-13,1.0,2.380952380952381e-05,1.0,0.0,0.0,1,1,-0.9944190154982735,declining
Cafes/Restaurants,2025-07-28/2025-08-03,3.0,0.0004615384615384,3.0,0.0,0.0,1,1,18.3846153846128,improving
Cafes/Restaurants,2025-08-11/2025-08-17,300.0,0.012,285.0,15.0,240000.0,1,1,25.000000000003467,improving
Cafes/Restaurants,2025-11-03/2025-11-09,44.0,0.0003165467625899,42.0,2.0,0.0,1,1,-0.9736211031175084,declining
Cafes/Restaurants,2025-11-17/2025-11-23,989.0,0.009607145242070101,961.0,28.0,2200000.0,2,2,29.34984519654233,improving
Cafes/Restaurants,2025-11-24/2025-11-30,20.0,0.0002469135802469,3.0,17.0,0.0,1,1,-0.9742989645700728,declining
Cafes/Restaurants,2025-12-01/2025-12-07,1520.0,0.006050400568434099,1296.0,224.0,0.0,4,3,23.504122302159452,improving
Cafes/Restaurants,2025-12-08/2025-12-14,350.0,0.0083333333333333,66.0,284.0,0.0,1,1,0.37731927648057284,improving
Cafes/Restaurants,2025-12-15/2025-12-21,226.0,0.0013506437389770663,24.0,202.0,162000.0,4,2,-0.8379227513227514,declining
Cafes/Restaurants,2025-12-22/2025-12-28,338.0,0.0044005408583186216,323.0,15.0,392000.0,3,3,2.258106287636922,improving
Cafes/Restaurants,2026-02-16/2026-02-22,1212.0,0.0026596855368933537,1203.0,9.0,699000.0,5,5,-0.3956003085698928,declining
Cafes/Restaurants,2026-02-23/2026-03-01,248.0,0.0008530410958903801,220.0,28.0,10000.0,5,2,-0.6792699422328043,declining
Cafes/Restaurants,2026-03-02/2026-03-08,6.0,6.777777777777778e-05,3.0,3.0,226000.0,4,2,-0.9205457062921063,declining
Cafes/Restaurants,2026-03-09/2026-03-15,381.0,0.0008997009354042281,226.0,155.0,14000.0,8,6,12.274276096127954,improving
Cafes/Restaurants,2026-03-16/2026-03-22,580.0,0.00075798134759106,575.0,5.0,15000.0,6,4,-0.1575185511499937,declining
Cafes/Restaurants,2026-03-23/2026-03-29,236.0,0.001031905516184798,230.0,6.0,365000.0,5,3,0.36138642390646725,improving
Cafes/Restaurants,2026-03-30/2026-04-05,2756.0,0.002631819006950224,2620.0,136.0,166200.0,11,5,1.5504457197599733,improving
Cafes/Restaurants,2026-04-06/2026-04-12,4991.0,0.0036478376647269884,4970.0,21.0,313779.0,14,6,0.3860518732836937,improving
Cafes/Restaurants,2026-04-13/2026-04-19,8363.0,0.010117097578366608,8273.0,90.0,146999.0,16,7,1.7734506050514702,improving
Cafes/Restaurants,2026-04-20/2026-04-26,5022.0,0.002643117769472997,4986.0,36.0,186902.0,20,7,-0.7387474274119115,declining
Cafes/Restaurants,2026-04-27/2026-05-03,2617.0,0.0012912530215149565,2583.0,34.0,139688.0,22,8,-0.5114659526607415,declining
Cafes/Restaurants,2026-05-04/2026-05-10,498.0,0.0017770840385614968,491.0,7.0,159202.0,18,7,0.3762477291062145,improving
Fashion,2023-05-01/2023-05-07,77.0,0.0052027027027027,77.0,0.0,4788.0,1,1,0.0,stable
Fashion,2023-05-15/2023-05-21,68.0,0.0045945945945945,68.0,0.0,39800.0,1,1,-0.11688311688313457,declining
Fashion,2023-05-22/2023-05-28,60.0,0.004054054054054,59.0,1.0,4642.0,1,1,-0.11764705882352311,declining
Fashion,2023-05-29/2023-06-04,15.0,0.0010135135135135,15.0,0.0,2282.0,1,1,-0.75,declining
Fashion,2023-09-18/2023-09-24,236.0,0.0159459459459459,236.0,0.0,45000.0,1,1,14.7333333333335,improving
Fashion,2023-09-25/2023-10-01,246.0,0.00831081081081075,246.0,0.0,58032.0,2,1,-0.4788135593220363,declining
Fashion,2023-10-02/2023-10-08,98.0,0.0066216216216216,98.0,0.0,56400.0,1,1,-0.20325203252032198,declining
Fashion,2024-09-23/2024-09-29,307.0,0.0049756888168557,307.0,0.0,106000.0,1,1,-0.2485694439850551,declining
Fashion,2024-12-23/2024-12-29,988.0,0.0160129659643436,988.0,0.0,167000.0,1,1,2.2182410423453116,improving
Fashion,2025-02-17/2025-02-23,534.0,0.0086547811993517,529.0,5.0,105000.0,1,1,-0.4595141700404859,declining
Fashion,2025-03-03/2025-03-09,335.0,0.0134,334.0,1.0,97000.0,1,1,0.5482771535580528,improving
Fashion,2025-04-28/2025-05-04,0.0,0.0,0.0,0.0,20700.0,3,1,-1.0,declining
Fashion,2025-05-05/2025-05-11,23.0,7.022900763358779e-06,22.0,1.0,335860.0,25,2,0.0,stable
Fashion,2025-05-19/2025-05-25,1275.0,0.0228085867620751,1275.0,0.0,1900000.0,1,1,3246.7444193824326,improving
Fashion,2025-08-04/2025-08-10,157.0,0.0028085867620751,152.0,5.0,310000.0,1,1,-0.8768627450980405,declining
Fashion,2025-10-20/2025-10-26,218.0,0.00872,216.0,2.0,44900.0,1,1,2.104764331210229,improving
Fashion,2025-12-22/2025-12-28,876.0,0.0312857142857142,717.0,159.0,283000.0,2,1,2.5878112712975,improving
Fashion,2025-12-29/2026-01-04,27.0,0.0019285714285714,24.0,3.0,9700.0,1,1,-0.9383561643835624,declining
Fashion,2026-01-05/2026-01-11,28.0,0.002,24.0,4.0,18000.0,1,1,0.03703703703705252,stable
Fashion,2026-01-12/2026-01-18,49.0,0.0035,43.0,6.0,15000.0,1,1,0.75,improving
Fashion,2026-01-19/2026-01-25,4.0,0.0002666666666666,2.0,2.0,0.0,1,1,-0.9238095238095428,declining
Fashion,2026-01-26/2026-02-01,53.0,0.0037857142857142,53.0,0.0,14000.0,1,1,13.196428571431799,improving
Fashion,2026-02-09/2026-02-15,74.0,0.0026428571428571,64.0,10.0,94000.0,2,1,-0.3018867924528257,declining
Fashion,2026-02-16/2026-02-22,8.0,0.0009107468123861,8.0,0.0,36734.0,2,1,-0.6553930980160647,declining
Fashion,2026-02-23/2026-03-01,132.0,0.0300546448087431,130.0,2.0,224000.0,1,1,32.000000000001975,improving
Fashion,2026-03-02/2026-03-08,184.0,0.0209471766848816,184.0,0.0,1906000.0,2,1,-0.30303030303030143,declining
Fashion,2026-03-09/2026-03-15,52.0,0.0022712964961823703,51.0,1.0,13564.0,9,3,-0.891570280312685,declining
Fashion,2026-03-16/2026-03-22,346.0,0.010227790057006527,336.0,10.0,84155.0,11,4,3.5030624906072596,improving
Fashion,2026-03-23/2026-03-29,14.0,0.00011602377093460001,14.0,0.0,5859.0,5,3,-0.988656027324777,declining
Fashion,2026-03-30/2026-04-05,377.0,0.0008184510085804011,362.0,15.0,96291.0,16,5,6.0541665900666475,improving
Fashion,2026-04-06/2026-04-12,786.0,0.0060644926193564085,702.0,84.0,68000.0,9,3,6.409719770368709,improving
Fashion,2026-04-13/2026-04-19,211.0,0.0053586789554531,204.0,7.0,8400.0,3,3,-0.11638461916014542,declining
Fashion,2026-04-20/2026-04-26,254.0,0.00114680134938354,249.0,5.0,74228.0,5,3,-0.7859917791461398,declining
Fashion,2026-04-27/2026-05-03,632.0,0.0008159750062825391,610.0,22.0,109073.0,31,9,-0.2884774623598374,declining
Fashion,2026-05-04/2026-05-10,2357.0,0.0024237530619420295,2250.0,107.0,302683.0,112,15,1.9703765964404822,improving
Gym,2023-09-11/2023-09-17,100.0,0.0223214285714285,100.0,0.0,27300.0,1,1,0.0,stable
Gym,2025-02-24/2025-03-02,268.0,0.00536,262.0,6.0,15164.0,2,1,-0.7598719999999992,declining
Gym,2025-03-03/2025-03-09,453.0,0.00453,449.0,4.0,21376.0,4,1,-0.1548507462686567,declining
Gym,2025-03-10/2025-03-16,412.0,0.005493333333333334,412.0,0.0,22118.0,3,1,0.21265636497424567,improving
Gym,2025-03-17/2025-03-23,127.0,0.00508,123.0,4.0,7677.0,1,1,-0.07524271844660191,stable
Gym,2025-04-07/2025-04-13,319.0,0.01276,319.0,0.0,16700.0,1,1,1.5118110236220472,improving
Gym,2025-04-21/2025-04-27,120.0,0.0048,120.0,0.0,5864.0,1,1,-0.6238244514106583,declining
Gym,2025-06-16/2025-06-22,774.0,0.03096,774.0,0.0,43500.0,1,1,5.450000000000001,improving
Gym,2025-07-14/2025-07-20,28.0,0.00625,28.0,0.0,5292.0,1,1,-0.79812661498708,declining
Gym,2025-07-21/2025-07-27,547.0,0.02188,547.0,0.0,161000.0,1,1,2.5008,improving
Gym,2025-07-28/2025-08-03,238.0,0.00952,238.0,0.0,65400.0,1,1,-0.5648994515539305,declining
Gym,2025-08-25/2025-08-31,34.0,0.0075892857142857,34.0,0.0,3106.0,1,1,-0.2028061224489811,declining
Gym,2025-10-20/2025-10-26,40.0,0.0089285714285714,40.0,0.0,9606.0,1,1,0.1764705882352926,improving
Gym,2025-11-17/2025-11-23,24.0,0.0035576638007708,24.0,0.0,4594.0,1,1,-0.6015416543136691,declining
Gym,2025-11-24/2025-11-30,44.0,0.0032611918173731996,43.0,1.0,5584.0,2,1,-0.08333333333334281,stable
Gym,2025-12-01/2025-12-07,155.0,0.0141125296471983,153.0,2.0,13436.0,2,2,3.327414772727338,improving
Gym,2025-12-08/2025-12-14,37.0,0.005484731692855,37.0,0.0,5380.0,1,1,-0.6113572952568529,declining
Gym,2025-12-22/2025-12-28,245.0,0.0546875,245.0,0.0,24200.0,1,1,8.970861486486534,improving
Gym,2025-12-29/2026-01-04,167.0,0.0158267068315615,163.0,4.0,20435.0,2,2,-0.710597360794304,declining
Gym,2026-01-05/2026-01-11,82.0,0.00607767565965015,82.0,0.0,8599.0,2,1,-0.6159860845131664,declining
Gym,2026-01-12/2026-01-18,93.0,0.0068929736139934,93.0,0.0,12838.0,2,1,0.13414634146340432,improving
Gym,2026-01-26/2026-02-01,62.0,0.0091906314853246,60.0,2.0,8053.0,1,1,0.33333333333334303,improving
Gym,2026-02-02/2026-02-08,71.0,0.0158482142857142,70.0,1.0,22900.0,1,1,0.724387960829491,improving
Gym,2026-02-09/2026-02-15,12.0,0.00088941595019265,10.0,2.0,6612.0,2,1,-0.9438791062413648,declining
Gym,2026-03-09/2026-03-15,68.0,0.0100800474355173,68.0,0.0,7431.0,1,1,10.333333333334007,improving
Gym,2026-03-23/2026-03-29,36.0,0.0053364957011562,35.0,1.0,4483.0,1,1,-0.4705882352941193,declining
Gym,2026-04-27/2026-05-03,269.0,0.039875481766973,269.0,0.0,34000.0,1,1,6.472222222222276,improving
Influencers,2024-12-16/2024-12-22,5660.0,0.0051454545454545,5550.0,110.0,133000.0,1,1,0.0,stable
Influencers,2024-12-23/2024-12-29,43368.0,0.013141818181818135,42390.0,978.0,957800.0,3,3,1.5540636042402962,improving
Influencers,2024-12-30/2025-01-05,142900.0,0.1299090909090909,140000.0,2900.0,2300000.0,1,1,8.88516878804652,improving
Influencers,2025-01-13/2025-01-19,13680.0,0.0124363636363636,13500.0,180.0,206000.0,1,1,-0.904268719384185,declining
Influencers,2025-01-20/2025-01-26,1359.0,0.0012354545454545,1344.0,15.0,44600.0,1,1,-0.9006578947368454,declining
Influencers,2025-02-03/2025-02-09,4694.0,0.0042672727272727,4634.0,60.0,191000.0,1,1,2.4540103016925263,improving
Influencers,2025-12-01/2025-12-07,349570.0,0.020442690058479502,332100.0,17470.0,11000000.0,3,2,3.7905750030523206,improving
Influencers,2025-12-15/2025-12-21,12260.0,0.0008173333333333,12100.0,160.0,638000.0,1,1,-0.9600183082072276,declining
Influencers,2025-12-22/2025-12-28,448273.0,0.00841107157894734,437600.0,10673.0,18130000.0,5,3,9.290870610458013,improving
Influencers,2025-12-29/2026-01-04,367324.0,0.0096140042105263,364004.0,3320.0,7908000.0,5,3,0.14301776180217796,improving
Influencers,2026-01-05/2026-01-11,25500.0,0.0017,24900.0,600.0,1000000.0,1,1,-0.8231746145754042,declining
Influencers,2026-01-12/2026-01-18,399800.0,0.035070175438596446,396600.0,3200.0,21800000.0,2,1,19.629514963880265,improving
Influencers,2026-01-19/2026-01-25,169316.0,0.0065011438596491,167685.0,1631.0,7422000.0,4,3,-0.8146247123561785,declining
Influencers,2026-01-26/2026-02-01,432320.0,0.009096421052631533,423900.0,8420.0,17817000.0,6,3,0.39920316316804483,improving
Influencers,2026-02-02/2026-02-08,743953.0,0.029625383094098824,731201.0,12752.0,29394000.0,5,4,2.256817480489033,improving
Influencers,2026-02-09/2026-02-15,13245.0,0.0014814727272727001,13111.0,134.0,828000.0,2,2,-0.9499931284410024,declining
Influencers,2026-02-16/2026-02-22,420033.0,0.010573706265664114,404573.0,15460.0,21074000.0,7,5,6.137293904241933,improving
Influencers,2026-02-23/2026-03-01,342510.0,0.01051952658920023,335233.0,7277.0,10609000.0,7,4,-0.005124000525702277,stable
Influencers,2026-03-02/2026-03-08,74390.0,0.00494878947368415,72100.0,2290.0,5200000.0,2,2,-0.5295615794379209,declining
Influencers,2026-03-09/2026-03-15,440546.0,0.011989023232323199,423017.0,17529.0,12848000.0,6,5,1.4226173483589135,improving
Influencers,2026-03-16/2026-03-22,208270.0,0.00847739473684205,204900.0,3370.0,7322000.0,4,2,-0.2929036358869975,declining
Influencers,2026-03-23/2026-03-29,199450.0,0.00807124561403505,190737.0,8713.0,5988000.0,4,2,-0.047909662746021486,stable
Influencers,2026-03-30/2026-04-05,186550.0,0.016364035087719248,182300.0,4250.0,6000000.0,2,1,1.0274485339987556,improving
Influencers,2026-04-13/2026-04-19,15480.0,0.0027157894736842,14300.0,1180.0,1300000.0,1,1,-0.8340391316001073,declining
Influencers,2026-04-20/2026-04-26,66640.0,0.0058456140350876505,65100.0,1540.0,3600000.0,2,1,1.1524547803617402,improving
Influencers,2026-04-27/2026-05-03,305660.0,0.01018866666666665,297100.0,8560.0,12659000.0,2,1,0.742959183673487,improving
Influencers,2026-05-04/2026-05-10,18300.0,0.0032105263157894,18000.0,300.0,948000.0,1,1,-0.6848923985026429,declining
Supermarkets,2021-04-19/2021-04-25,112.0,0.0116230801162308,106.0,6.0,2977.0,1,1,0.0,stable
Supermarkets,2021-05-24/2021-05-30,89.0,0.0092361975923619,89.0,0.0,8752.0,1,1,-0.20535714285714923,declining
Supermarkets,2021-10-25/2021-10-31,0.0,0.0,0.0,0.0,853.0,1,1,-1.0,declining
Supermarkets,2021-11-29/2021-12-05,31.0,0.003217102532171,31.0,0.0,2955.0,1,1,0.0,stable
Supermarkets,2022-02-28/2022-03-06,72.0,0.0074719800747198,70.0,2.0,6140.0,1,1,1.3225806451613087,improving
Supermarkets,2025-02-03/2025-02-09,5.0,0.0005188875051888,5.0,0.0,717.0,1,1,-0.9305555555555656,declining
Supermarkets,2025-02-24/2025-03-02,4.0,0.0004151100041511,4.0,0.0,647.0,1,1,-0.19999999999988438,declining
Supermarkets,2025-03-31/2025-04-06,3.0,0.0003113325031133,3.0,0.0,1867.0,1,1,-0.2500000000000603,declining
Supermarkets,2025-07-14/2025-07-20,4.0,0.0047675804529201,3.0,1.0,0.0,1,1,14.313468414780594,improving
Supermarkets,2025-08-04/2025-08-10,2.0,0.00238379022646,2.0,0.0,0.0,1,1,-0.5000000000000105,declining
Supermarkets,2025-08-11/2025-08-17,2.0,0.00238379022646,2.0,0.0,0.0,1,1,0.0,stable
Supermarkets,2025-09-22/2025-09-28,14.0,0.0083432657926102,14.0,0.0,0.0,2,1,2.5000000000000844,improving
Supermarkets,2025-10-13/2025-10-19,4.0,0.0047675804529201,4.0,0.0,0.0,1,1,-0.42857142857143027,declining
Supermarkets,2025-12-01/2025-12-07,2.0,0.00238379022646,2.0,0.0,0.0,1,1,-0.5000000000000105,declining
Supermarkets,2025-12-22/2025-12-28,22.0,0.0262216924910607,22.0,0.0,0.0,1,1,10.000000000000295,improving
Supermarkets,2026-03-16/2026-03-22,262.0,0.015786936611231567,222.0,40.0,27375.0,3,1,-0.3979436446898488,declining
Supermarkets,2026-04-06/2026-04-12,1802.0,0.3764830195864504,1718.0,84.0,280406.0,2,2,22.847756462048675,improving
Supermarkets,2026-04-13/2026-04-19,5793.0,0.4071059684255145,5704.0,89.0,275935.0,6,2,0.08133952195958805,stable
Supermarkets,2026-04-20/2026-04-26,5890.0,0.4987298899237934,5839.0,51.0,264000.0,5,1,0.2250616021490306,improving
Supermarkets,2026-04-27/2026-05-03,4692.0,0.13354371501417364,4651.0,41.0,244014.0,14,3,-0.7322323812703921,declining
Supermarkets,2026-05-04/2026-05-10,3013.0,0.2519689308238481,2939.0,74.0,86160.0,5,2,0.8867898859718362,improving
