business_name,sector,posts_count,engagement_mean,engagement_rate_mean,view_rate_mean,comment_rate_mean
Family Market PS,Supermarkets,16,1292.3125,0.5471263759525825,28.157070279424218,0.00825571549534293
Nour Alsaqa,Influencers,2,87075.0,0.07915909090909092,1.3063636363636364,0.0017045454545454545
Robian Restaurant,Cafes/Restaurants,20,236.3,0.03635384615384615,93.26923076923077,0.0005230769230769231
FPAIspal,Influencers,1,33281.0,0.030255454545454547,0.0,0.0009827272727272727
Abu shukri restaurant-مطعم حمص ابو شكري,Cafes/Restaurants,3,71.66666666666667,0.02471264367816092,0.0,0.005172413793103448
aburob,Influencers,31,118166.12903225806,0.020730899830220712,0.8072891907187324,0.0005384833050367855
Xtreme Fitness Ramallah,Gym,8,85.0,0.018973214285714284,3.068359375,2.7901785714285713e-05
LOFT Palestine,Fashion,8,81.375,0.018528005464480874,63.778603142076506,0.00017076502732240437
Mazaj Oriental - مزاج الشرقي,Cafes/Restaurants,16,340.4375,0.014931469298245615,0.542719298245614,0.00015899122807017544
Hamdan ElDahdouh,Influencers,2,15407.0,0.014006363636363636,0.08681818181818182,0.0004909090909090909
ahmedalhenawi1,Influencers,1,75570.0,0.013257894736842106,0.47368421052631576,0.0001350877192982456
KFC Palestine,Cafes/Restaurants,16,758.1875,0.012657554257095159,4.4500386060100166,0.0001001669449081803
drift.for.men,Fashion,2,276.5,0.01106,2.838,6.000000000000001e-05
Angel shop PS,Fashion,12,154.83333333333334,0.01105952380952381,3.1196428571428574,0.001636904761904762
Hala Fashion هلا فاشن,Fashion,9,10.444444444444445,0.010444444444444444,0.7826666666666666,0.00044444444444444447
Plestia Alaqad,Influencers,1,10610.0,0.009645454545454546,0.3109090909090909,0.0001
Vienna Restaurant & Cafe,Cafes/Restaurants,5,16.0,0.009461856889414548,0.5265523358959195,0.0007096392667060912
Jumbo Supermarket,Supermarkets,11,50.09090909090909,0.009054755800959706,1.0886248603168343,0.001002432130414777
Pardo Cafe,Cafes/Restaurants,3,65.33333333333333,0.008828828828828829,1.36990990990991,0.0
Al Jazeera English,Influencers,2,9670.0,0.00879090909090909,0.1540909090909091,0.0001318181818181818
Hulk Gym / Diaa Shabaro,Gym,15,217.2,0.008688,0.9567973333333335,3.733333333333334e-05
Hind Khoudary,Influencers,1,9203.0,0.008366363636363637,0.0,5.818181818181818e-05
Pulse Gym & Fitness,Gym,16,55.4375,0.008217832789801365,1.0550604061666173,0.00011117699377408834
Shamsboutique,Fashion,14,5.714285714285714,0.007732456988208003,3.379663638121013,0.0008699014111734003
Katusha Supermarket,Supermarkets,8,6.25,0.007449344457687723,0.0,0.00014898688915375446
EUROMODA,Fashion,8,100.0,0.006756756756756757,1.7816216216216216,8.445945945945946e-06
متجر الأميرات للسيدات,Fashion,12,35.0,0.0062499999999999995,0.9865029761904762,0.000744047619047619
REXOS Café & Restaurant,Cafes/Restaurants,25,261.08,0.006216190476190478,0.052942857142857146,0.0005066666666666667
Vanilla Palestine,Cafes/Restaurants,29,781.1034482758621,0.005619449268171669,0.27990573058794344,3.423468122054081e-05
Motaz Azaiza,Influencers,20,63325.3,0.004221686666666667,0.16677666666666666,9.327666666666666e-05
Supermarket 25st,Supermarkets,8,39.5,0.0040992112909921125,0.3231112494811125,0.00010377750103777501
Mikkawi 1955,Fashion,9,222.88888888888889,0.003987278870999801,4.718087855297157,2.186444046909163e-05
KOTON Palestine,Fashion,8,233.875,0.0037905186385737443,0.787034035656402,1.620745542949757e-05
Gintifada,Influencers,1,4058.0,0.0036890909090909092,0.0,4.909090909090909e-05
Farouj Abu Alabd,Cafes/Restaurants,24,88.25,0.00353,2.2933333333333334,0.0006833333333333332
Lujain fashion,Fashion,11,41.90909090909091,0.002993506493506493,0.0,0.0001038961038961039
The Tatreez Grove,Influencers,1,2469.0,0.0022445454545454544,0.0,5.272727272727273e-05
Shawerma w Mashawi Al Helou,Cafes/Restaurants,20,155.0,0.0019232592592592593,0.2472969135802469,5.57037037037037e-05
Bravo Supermarket,Supermarkets,8,28.0,0.0015555555555555555,0.3300902777777778,4.166666666666667e-05
Mabella - مابيلا,Fashion,9,106.44444444444444,0.0013823953823953825,0.06941269841269843,1.0101010101010101e-05
MIFTAH,Influencers,1,1508.0,0.0013709090909090908,0.038,1.6363636363636363e-05
Fekreebrahem,Influencers,3,1250.3333333333333,0.0011366666666666667,0.013515151515151515,2.090909090909091e-05
Motaz Foundation,Influencers,10,14887.1,0.0009924733333333334,0.04994,1.5946666666666668e-05
Moath Kahlout,Influencers,1,1090.0,0.000990909090909091,0.0,1.0909090909090909e-05
Noor Restaurant and Cafe,Cafes/Restaurants,27,31.74074074074074,0.0009631986531986532,0.3334812794612795,3.057239057239057e-05
Jericho Resort Village - قرية أريحا السياحية,Cafes/Restaurants,9,62.333333333333336,0.0008538812785388128,0.0,0.00023896499238964993
Ronza Elegant,Fashion,12,10.0,0.0007142857142857143,0.038625,2.9761904761904765e-05
Baby Bump,Fashion,10,10.1,0.0006733333333333333,0.0,2.6666666666666667e-05
MAS CO,Fashion,9,2.888888888888889,0.0006018518518518519,0.003287037037037037,2.314814814814815e-05
Bella Kids,Fashion,12,3.1666666666666665,0.0005974842767295597,0.07974842767295598,0.0001729559748427673
99streetwear,Fashion,9,3.0,0.0005769230769230769,0.26282051282051283,6.41025641025641e-05
Grand Shop,Fashion,10,13.7,0.000548,0.1916,2e-05
Grand Stores Mall,Fashion,9,21.77777777777778,0.0005064599483204134,0.094,0.0
Ghazala__store غزالة ستور,Fashion,6,1.5,0.00048387096774193543,0.20279569892473118,0.00010752688172043011
متجر تبارك للزي الشرعي,Fashion,12,25.5,0.0004811320754716981,0.13820754716981132,9.433962264150944e-06
Ahmed Sh Ajwa,Influencers,1,4454.0,0.00029693333333333336,0.0194,1e-05
528 Fashion,Fashion,7,1.2857142857142858,0.00028571428571428574,0.11501587301587302,0.0
ROZAL,Fashion,13,18.846153846153847,0.0002479757085020243,0.06232186234817813,2.0242914979757085e-05
Yalda Hakim and Motaz Azaiza,Influencers,1,2226.0,0.0001484,0.021466666666666665,2.733333333333333e-06
Orgada Burgers,Cafes/Restaurants,9,22.333333333333332,0.00013701431492842535,0.03019768234492161,1.9768234492160872e-05
Wakeup coffee,Cafes/Restaurants,22,2.227272727272727,0.00012373737373737374,0.02862373737373737,1.2626262626262626e-05
Fashion Shop Ramallah,Fashion,8,2.0,0.00012121212121212121,0.014818181818181817,0.0
Hijjawi Fashion - الحجاوي للأزياء,Fashion,11,8.727272727272727,3.3958259639193496e-05,0.0,1.4149274849663953e-06
Venus Boutique / فينوس بوتيك,Fashion,14,1.6428571428571428,1.2540894220283534e-05,0.12696837513631407,5.452562704471101e-07
جروان الدوار,Fashion,14,0.0,0.0,0.02394502516453736,0.0
